feature,importance,rank
w15m_imf7_spectral_entropy,6.040718940220977e-06,314
lag15m_imf1_spectral_centroid,4.092878886483832e-06,315
lag15m_imf4_spectral_band_energy,1.1327883853788997e-06,316
w15m_imf3_ae_mean,3.413617545991345e-07,317
w15m_imf2_dominant_freq,1.4352516847454027e-07,318
w15m_imf3_zcr,2.5925902719727126e-08,319
w15m_prv_rmssd,0.0,320
lag15m_imf1_ptp,0.0,321
w15m_imf1_psd_var,0.0,322
lag15m_imf7_var,0.0,323
lag15m_imf7_std,0.0,324
w15m_imf1_kurtosis,0.0,325
w15m_imf1_skew,0.0,326
lag15m_imf1_extrema,0.0,327
w15m_prv_power_lf,0.0,328
w15m_imf5_extrema,0.0,329
w15m_prv_std_ibi,0.0,330
lag15m_imf3_spectral_entropy,0.0,331
lag15m_imf7_total_power,0.0,332
w15m_fall_slope,0.0,333
lag15m_imf1_dominant_freq,0.0,334
w15m_d1_min,0.0,335
lag15m_imf2_zcr,0.0,336
lag15m_imf3_ptp,0.0,337
lag15m_imf2_extrema,0.0,338
w15m_rms,0.0,339
lag15m_imf7_ae_mean,0.0,340
w15m_imf1_pser,0.0,341
lag15m_d1_std,0.0,342
lag15m_imf6_spectral_band_energy,0.0,343
w15m_imf6_spectral_flatness,0.0,344
w15m_imf5_psd_mean,0.0,345
lag15m_imf5_ptp,0.0,346
w15m_imf5_ptp,0.0,347
w15m_imf5_spectral_entropy,0.0,348
w15m_imf6_zcr,0.0,349
w15m_imf4_dominant_freq,0.0,350
w15m_imf6_psd_var,0.0,351
lag15m_imf4_ae_mean,0.0,352
w15m_imf3_spectral_slope,0.0,353
w15m_imf3_ptp,0.0,354
lag15m_mean_peak_amp,0.0,355
w15m_imf6_pser,0.0,356
lag15m_imf4_psd_var,0.0,357
w15m_imf2_spectral_centroid,0.0,358
lag15m_imf4_psd_mean,0.0,359
lag15m_imf4_ptp,0.0,360
demo_sex,0.0,361
lag15m_std,0.0,362
lag15m_max,0.0,363
w15m_imf5_zcr,0.0,364
demo_preop_dm,0.0,365
